AngKF,Ang,2,B1,1,0,"Introduction to English Language and Linguistics – Part II*"
AngKF,Ang,2,B1,1,0,"Introduction to English Language and Linguistics – Part II*"
AngKF,Ang,2,B1,6,0,"Introduction to English and American Literary Studies – Part II"
AngKF,Ang,2,B1,6,0,"Introduction to English and American Literary Studies – Part II"
AngKF,Ang,2,B2,4,0,"Essay Writing"
AngKF,Ang,2,B2,7,0,"Vocabulary and Translation "
AngKF,Ang,2,B3,4,0,"Essay Writing"
AngKF,Ang,2,B4,7,0,"Vocabulary and Translation "
AngKF,Ang,2,B4,8,0,"Translation for Beginners I "
AngKF,Ang,2,B5,1,0,"Introduction to English Language and Linguistics – Part II*"
AngKF,Ang,2,B5,3,0,"Introduction to Medieval English Studies – Part II"
AngKF,Ang,2,B5,6,0,"Introduction to English and American Literary Studies – Part II"
AngKF,Ang,2,C1,2,0,"Grammar II "
AngKF,Ang,2,C2,3,0,"Introduction to Medieval English Studies – Part II"
AngKF,Ang,2,C2,9,0,"Grammar I "
AngKF,Ang,2,C3,5,0,"Advanced Translation "
AngKF,Ang,2,C3,6,0,"Introduction to English and American Literary Studies – Part II"
AngKF,Ang,2,C4,4,0,"Essay Writing"
AngKF,Ang,2,C4,4,0,"Essay Writing"
AngKF,Ang,2,C5,3,0,"Introduction to Medieval English Studies – Part II"
AngKF,Ang,2,D1,9,0,"Grammar I "
AngKF,Ang,2,D2,3,0,"Introduction to Medieval English Studies – Part II"
AngKF,Ang,2,D2,8,0,"Translation for Beginners I "
AngKF,Ang,2,D3,4,0,"Essay Writing"
AngKF,Ang,2,E3,4,0,"Essay Writing"
AngKF,Ang,2,E4,5,0,"Advanced Translation "
AngKF,Ang,3,B4,1,0,"Vorlesung English Morpho-Syntax (Stein)*"
AngKF,Ang,3,C4,2,0,"Vorlesung English Morpho-Syntax (Muschalik)"
AngKF,Ang,4,D4,1,0,"Vorlesung Evolution of Grammar (Kouteva)*"
GerEF,Ger,1,A4,3,0,"BM I.1 Vorlesung: Einführung in die Germanistische Sprachwissenschaft"
GerEF,Ger,1,B1,1,0,"BM II.1 Vorlesung: Einführung in die Literaturwissenschaft"
GerEF,Ger,1,B3,2,0,"BM III.1 Vorlesung: Einführung in die Mediävistik"
GerEF,Ger,1,C5,4,0,"BM IV. Vorlesung: Einführung in die Theorie und Praxis mündlicher und schriftlicher Kommunikation"
GerEF,Ger,3,A4,3,0,"BM I.1 Vorlesung: Einführung in die Germanistische Sprachwissenschaft"
GerEF,Ger,3,B1,1,0,"BM II.1 Vorlesung: Einführung in die Literaturwissenschaft"
GerEF,Ger,3,B3,2,0,"BM III.1 Vorlesung: Einführung in die Mediävistik"
GerEF,Ger,3,C5,4,0,"BM IV. Vorlesung: Einführung in die Theorie und Praxis mündlicher und schriftlicher Kommunikation"
GerEF,Ger,5,B3,1,0,"Fachmodul: Vorlesung NDL"
GerKF,Ger,1,A4,3,0,"BM I.1 Vorlesung: Einführung in die Germanistische Sprachwissenschaft"
GerKF,Ger,1,B1,1,0,"BM II.1 Vorlesung: Einführung in die Literaturwissenschaft"
GerKF,Ger,1,B3,2,0,"BM III.1 Vorlesung: Einführung in die Mediävistik"
GerKF,Ger,1,C5,4,0,"BM IV. Vorlesung: Einführung in die Theorie und Praxis mündlicher und schriftlicher Kommunikation"
GerKF,Ger,3,A4,3,0,"BM I.1 Vorlesung: Einführung in die Germanistische Sprachwissenschaft"
GerKF,Ger,3,B1,1,0,"BM II.1 Vorlesung: Einführung in die Literaturwissenschaft"
GerKF,Ger,3,B3,2,0,"BM III.1 Vorlesung: Einführung in die Mediävistik"
GerKF,Ger,3,C5,4,0,"BM IV. Vorlesung: Einführung in die Theorie und Praxis mündlicher und schriftlicher Kommunikation"
GerKF,Ger,5,B3,1,0,"Fachmodul: Vorlesung NDL"
GesEF,Ges,1,A3,2,0,"Einführungsvorlesung Mittelalter"
GesEF,Ges,1,E1,1,0,"Einführungsvorlesung Alte Geschichte"
GesEF,Ges,2,B4,2,0,"Einführungsvorlesung/ Grundkurs Osteuropa"
GesEF,Ges,2,E3,1,0,"Einführungsvorlesung Neuzeit"
GesKF,Ges,1,A3,2,0,"Einführungsvorlesung Mittelalter"
GesKF,Ges,1,E1,1,0,"Einführungsvorlesung Alte Geschichte"
GesKF,Ges,2,B4,2,0,"Einführungsvorlesung/ Grundkurs Osteuropa"
GesKF,Ges,2,E3,1,0,"Einführungsvorlesung Neuzeit"
InfEF,Inf,1,A5,1,0,"I1d. Basisseminar I (Strukturieren digitaler Dokumente)"
InfEF,Inf,1,B5,2,0,"I1b. Übung: Information Retrieval"
InfEF,Inf,1,D5,3,0,"I1a. Vorlesung: Information Retrieval"
InfEF,Inf,2,A2,1,0,"Projektseminar I, I1c, Kurs A:  Siebenlist, Raum 23.21.00.81-83??"
InfEF,Inf,2,B2,2,0,"Recherchen im Deep Web (Basisseminar II I1e, Kurs B: Heck, Raum 23.21.00.81-83"
InfEF,Inf,2,B3,1,0,"Projektseminar I, I1c, Kurs B:  Mainka, Raum 23.21.00.81-83"
InfEF,Inf,2,B5,3,0,"Übung I2b zur Vorlesung I2: Mehrere Kurse gleichzeitig in verschiedenen Räumen, HS 3F?? + 3E?? + 5A es gibt noch Alternativtermine (welche?)"
InfEF,Inf,2,D3,2,0,"Recherchen im Deep Web (Basisseminar II I1e, Kurs A: Peters, Raum 23.21.00.81-83, Kurs C: Schumann, Raum 23.21.00.85??"
InfEF,Inf,2,D5,4,0,"Vorlesung I2a: Wissensrepräsentation, Stock, Hörsaal 3F?? o. 3E??"
InfEF,Inf,3,B2,1,0,"I2c. Projektseminar (für Wissensrepräsentation)"
InfEF,Inf,3,B3,3,0,"2e. Basisseminar II (Inhaltserschließung)"
InfEF,Inf,3,E2,2,0,"I2d. Basisseminar I (Aufbau von Wissensordnungen)"
InfEF,Inf,4,B2,1,0,"I3a. Vorlesung: Informetrie"
InfEF,Inf,4,C2,2,0,"I3b. Übung: Informetrie"
InfEF,Inf,4,C5,3,0,"I3c. Aufbauseminar I (Bibliometrie)"
JapEF,Jap,1,A1,1,1,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,A2,1,1,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,A2,2,0,"Einführung in das wissenschaftliche Arbeiten"
JapEF,Jap,1,A3,1,1,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,A3,1,2,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,A4,3,0,"Japanisch I – Schreib- und Leseübungen"
JapEF,Jap,1,A4,3,0,"Japanisch I – Schreib- und Leseübungen"
JapEF,Jap,1,A5,4,0,"Japanisch I – Grammatik und leichte Textlektüre "
JapEF,Jap,1,B1,1,2,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,B2,1,2,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,B2,5,0,"Einführung in die japanische Kultur (Gruppe B)"
JapEF,Jap,1,B3,1,3,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,B3,1,4,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,B4,3,0,"Japanisch I – Schreib- und Leseübungen"
JapEF,Jap,1,B5,4,0,"Japanisch I – Grammatik und leichte Textlektüre "
JapEF,Jap,1,C1,1,3,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,C1,5,0,"Einführung in die japanische Kultur (Gruppe A)"
JapEF,Jap,1,C5,4,0,"Japanisch I – Grammatik und leichte Textlektüre "
JapEF,Jap,1,D1,1,4,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,D1,2,0,"Einführung in das wissenschaftliche Arbeiten"
JapEF,Jap,1,D2,1,3,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,D3,6,0,"Einführung in die japanische Gesellschaft"
JapEF,Jap,1,D4,3,0,"Japanisch I – Schreib- und Leseübungen"
JapEF,Jap,1,E2,1,4,"Japanisch I – Grammatik und Kommunikationsübungen"
JapEF,Jap,1,E2,6,0,"Einführung in die Geschichte Japans"
JapEF,Jap,2,A1,1,1,"Japanisch II – Grammatik und Kommunikationsübungen (Gruppe 1)"
JapEF,Jap,2,A2,1,1,"Japanisch II – Grammatik und Kommunikationsübungen (Gruppe 1)"
JapEF,Jap,2,A3,1,1,"Japanisch II – Grammatik und Kommunikationsübungen (Gruppe 1)"
JapEF,Jap,2,A3,1,2,"Japanisch II – Grammatik und Kommunikationsübungen (Gruppe 2)"
JapEF,Jap,2,A4,2,0,"Japanisch II – Schreib- und Leseübungen (Gruppe 1)"
JapEF,Jap,2,A4,2,0,"Japanisch II – Schreib- und Leseübungen (Gruppe 2)"
JapEF,Jap,2,A5,3,0,"Japanisch II – Grammatik und leichte Textlektüre (Gruppe 1)"
JapEF,Jap,2,B1,1,2,"Japanisch II – Grammatik und Kommunikationsübungen (Gruppe 2)"
JapEF,Jap,2,B1,4,0,"Einführung in die japanische Kultur – (wird auch im 1. Semester angeboten)"
JapEF,Jap,2,B2,1,2,"Japanisch II – Grammatik und Kommunikationsübungen (Gruppe 2)"
JapEF,Jap,2,B3,1,3,"Japanisch II – Grammatik und Kommunikationsübungen (Gruppe 3)"
JapEF,Jap,2,B3,1,4,"Japanisch II – Grammatik und Kommunikationsübungen (Gruppe 4)"
JapEF,Jap,2,B4,2,0,"Japanisch II – Schreib- und Leseübungen (Gruppe 3)"
